debate_id,side_swap_group_id,topic_id,model_pro,model_con,pro_participant_winner,con_participant_winner,same_verdict,both_choose_self,both_choose_opponent
prop_0002__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,claude-fable-5-1-high,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0002__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,kimi-k3,claude-fable-5-1-high,kimi-k3,kimi-k3,1,0,0
prop_0004__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0004,claude-opus-5-high,glm-5-3-high,glm-5-3-high,TIE,0,0,0
prop_0004__glm-5-3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0004,glm-5-3-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0008__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0008__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0008,gpt-6-astra-high,muse-spark-1.3-high,gpt-6-astra-high,muse-spark-1.3-high,0,1,0
prop_0008__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0008__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0008,muse-spark-1.3-high,gpt-6-astra-high,muse-spark-1.3-high,gpt-6-astra-high,0,1,0
prop_0012__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0012__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0012,gpt-6-astra-high,grok-4.6-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0012__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0012__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0012,grok-4.6-high,gpt-6-astra-high,grok-4.6-high,gpt-6-astra-high,0,1,0
prop_0014__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f,prop_0014__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0014,claude-opus-5-high,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0014__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0014__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0014,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
