debate_id,side_swap_group_id,topic_id,proposition_text,reference_judges,model,opponent,own_side,self_margin_as_a,self_margin_as_b,self_margin,panel_self_margin,panel_normalized_self_margin,self_panel_shift,order_a_advantage,order_margin_range,self_outcome,panel_outcome,self_win,self_tie,opponent_win,panel_win,panel_loss,panel_agreement,both_orders_opponent_win,order_decisive_flip,order_outcome_changed,loss_ack,robust_loss_ack,task_as_a,task_as_b,argument_strength_self,argument_strength_opponent,argument_strength_gap,argument_strength_panel_gap,argument_strength_shift,rebuttal_quality_self,rebuttal_quality_opponent,rebuttal_quality_gap,rebuttal_quality_panel_gap,rebuttal_quality_shift,grounding_and_epistemic_discipline_self,grounding_and_epistemic_discipline_opponent,grounding_and_epistemic_discipline_gap,grounding_and_epistemic_discipline_panel_gap,grounding_and_epistemic_discipline_shift,originality_of_argument_self,originality_of_argument_opponent,originality_of_argument_gap,originality_of_argument_panel_gap,originality_of_argument_shift,rhetorical_effectiveness_self,rhetorical_effectiveness_opponent,rhetorical_effectiveness_gap,rhetorical_effectiveness_panel_gap,rhetorical_effectiveness_shift
prop_0008__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0008__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0008,Countries should phase out tobacco sales through a generational ban rather than rely only on conventional age restrictions.,3,muse-spark-1.3-high,gpt-6-astra-high,pro,1.5,1.5,1.5,0.7000000000000001,0.8580952380952381,0.7999999999999999,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,,,16120ecef12c85b57806d7c2,3fdded4eb6be7a664f8b1d82,8.0,7.0,1.0,1.0,0.0,8.0,7.0,1.0,0.3333333333333339,0.6666666666666661,8.0,8.0,0.0,0.33333333333333304,-0.33333333333333304,7.5,7.0,0.5,0.33333333333333304,0.16666666666666696,8.0,7.0,1.0,1.333333333333334,-0.3333333333333339
prop_0008__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0008__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0008,Countries should phase out tobacco sales through a generational ban rather than rely only on conventional age restrictions.,3,gpt-6-astra-high,muse-spark-1.3-high,pro,1.7,2.1,1.9,-0.7000000000000001,-0.6961904761904764,2.6,-0.20000000000000007,0.40000000000000013,1,-1,1,0,0,0,1,0,0,0,0,0.0,0.0,ec2bc2420154033cf04f710e,164901d9a04eb4731e157208,8.0,6.5,1.5,-0.3333333333333339,1.833333333333334,8.0,5.5,2.5,-1.0,3.5,8.0,6.0,2.0,-0.33333333333333304,2.333333333333333,7.0,6.0,1.0,-1.333333333333333,2.333333333333333,8.0,7.0,1.0,-1.0000000000000009,2.000000000000001
prop_0008__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0008__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0008,Countries should phase out tobacco sales through a generational ban rather than rely only on conventional age restrictions.,3,gpt-6-astra-high,muse-spark-1.3-high,con,1.2,1.8,1.5,-0.7000000000000001,-0.8580952380952381,2.2,-0.30000000000000004,0.6000000000000001,1,-1,1,0,0,0,1,0,0,0,0,0.0,0.0,7e1a28fc45db9813749303f1,6351835919387d0b0a36a89e,8.0,7.0,1.0,-1.0,2.0,8.0,6.0,2.0,-0.3333333333333339,2.333333333333334,8.0,6.5,1.5,-0.33333333333333304,1.833333333333333,7.0,6.5,0.5,-0.33333333333333304,0.833333333333333,8.0,7.0,1.0,-1.333333333333334,2.333333333333334
prop_0008__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0008__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0008,Countries should phase out tobacco sales through a generational ban rather than rely only on conventional age restrictions.,3,muse-spark-1.3-high,gpt-6-astra-high,con,1.5,1.5,1.5,0.7000000000000001,0.6961904761904764,0.7999999999999999,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,,,d8a3976b4dcf4dea29fa609d,323a758c18dbba10b75a4f92,8.0,7.0,1.0,0.3333333333333339,0.6666666666666661,8.0,6.5,1.5,1.0,0.5,8.0,8.0,0.0,0.33333333333333304,-0.33333333333333304,8.0,6.5,1.5,1.333333333333333,0.16666666666666696,8.0,7.0,1.0,1.0000000000000009,-8.881784197001252e-16
prop_0046__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0046__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0046,Recreational genetic enhancement for aesthetic or non-medical physical traits in consenting adults should be strictly prohibited.,3,claude-sonnet-5-high,glm-5-3-high,pro,-2.3,-1.8,-2.05,-2.166666666666667,-2.084074074074074,0.11666666666666714,-0.2499999999999999,0.4999999999999998,-1,-1,0,0,1,0,1,1,1,0,0,1.0,1.0,6914fc7e7e74161f9de0bfb2,2273000d856896abc1c7fd73,6.5,8.0,-1.5,-1.666666666666667,0.16666666666666696,6.0,8.0,-2.0,-1.9999999999999991,-8.881784197001252e-16,6.5,7.0,-0.5,-1.333333333333334,0.8333333333333339,7.0,6.5,0.5,-1.0,1.5,6.5,8.0,-1.5,-0.9999999999999991,-0.5000000000000009
prop_0046__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0046__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0046,Recreational genetic enhancement for aesthetic or non-medical physical traits in consenting adults should be strictly prohibited.,3,claude-sonnet-5-high,glm-5-3-high,con,2.2,2.1,2.1500000000000004,1.4000000000000001,1.3694444444444445,0.7500000000000002,0.050000000000000044,0.10000000000000009,1,1,1,0,0,1,0,1,0,0,0,,,a0f6f12322fa62ce4a9c5bee,548f94c4e75aae3e9af9e078,8.0,6.0,2.0,1.333333333333334,0.6666666666666661,8.0,6.0,2.0,1.333333333333334,0.6666666666666661,7.0,6.0,1.0,0.33333333333333304,0.666666666666667,6.5,6.0,0.5,1.0,-0.5,7.0,6.5,0.5,-0.33333333333333304,0.833333333333333
prop_0046__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0046__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0046,Recreational genetic enhancement for aesthetic or non-medical physical traits in consenting adults should be strictly prohibited.,3,glm-5-3-high,claude-sonnet-5-high,con,1.8,1.8,1.8,2.166666666666667,2.084074074074074,-0.3666666666666669,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,,,027214109595c2c2536dbd00,586b15d44a6cb87ab1022549,8.0,6.0,2.0,1.666666666666667,0.33333333333333304,8.0,6.5,1.5,1.9999999999999991,-0.4999999999999991,7.5,6.5,1.0,1.333333333333334,-0.3333333333333339,7.5,6.5,1.0,1.0,0.0,8.0,7.0,1.0,0.9999999999999991,8.881784197001252e-16
prop_0046__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0046__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0046,Recreational genetic enhancement for aesthetic or non-medical physical traits in consenting adults should be strictly prohibited.,3,glm-5-3-high,claude-sonnet-5-high,pro,-1.5,-1.3,-1.4,-1.4000000000000001,-1.3694444444444445,2.220446049250313e-16,-0.09999999999999998,0.19999999999999996,-1,-1,0,0,1,0,1,1,1,0,0,1.0,1.0,2c26033cb7e48dff3ded77a6,93de3154badc0f5268fea339,6.5,7.5,-1.0,-1.333333333333334,0.3333333333333339,6.5,7.5,-1.0,-1.333333333333334,0.3333333333333339,6.5,6.5,0.0,-0.33333333333333304,0.33333333333333304,6.5,7.0,-0.5,-1.0,0.5,7.5,7.5,0.0,0.33333333333333304,-0.33333333333333304
prop_0127__grok-4.6-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0127__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,Large supermarkets should be required to donate unsold edible food or discount it sharply before disposal rather than treat waste as a normal cost of doing business.,3,claude-sonnet-5-high,grok-4.6-high,con,-1.2,1.3,0.050000000000000044,0.43333333333333335,0.39351851853333325,-0.3833333333333333,-1.25,2.5,0,0,0,1,0,0,0,1,0,1,1,,,5c3681c67b290e3ea65d01de,0007c0dcad021281d7e516f2,7.5,7.5,0.0,0.3333333333333339,-0.3333333333333339,7.5,7.5,0.0,1.0,-1.0,7.0,7.0,0.0,-0.33333333333333304,0.33333333333333304,7.0,6.0,1.0,0.33333333333333304,0.666666666666667,7.0,8.0,-1.0,-0.666666666666667,-0.33333333333333304
prop_0127__grok-4.6-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0127__claude-sonnet-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0127,Large supermarkets should be required to donate unsold edible food or discount it sharply before disposal rather than treat waste as a normal cost of doing business.,3,grok-4.6-high,claude-sonnet-5-high,pro,1.2,1.3,1.25,-0.43333333333333335,-0.39351851853333325,1.6833333333333333,-0.050000000000000044,0.10000000000000009,1,0,1,0,0,0,0,0,0,0,0,,,2edceb2faefa017af9d1fd5c,77b3b3b53ae5322e1e8dca08,8.0,7.0,1.0,-0.3333333333333339,1.333333333333334,8.0,8.0,0.0,-1.0,1.0,7.5,7.5,0.0,0.33333333333333304,-0.33333333333333304,7.0,7.5,-0.5,-0.33333333333333304,-0.16666666666666696,8.0,7.0,1.0,0.666666666666667,0.33333333333333304
