task_id,debate_id,participant_model,side_a_source,prompt_sha256,signed_margin_presented,winner_presented,margin,entertainment_value,reasoning,notable_rebuttals,response_path,response_sha256,port,request_attempts,argument_strength_a,argument_strength_b,rebuttal_quality_a,rebuttal_quality_b,grounding_and_epistemic_discipline_a,grounding_and_epistemic_discipline_b,originality_of_argument_a,originality_of_argument_b,rhetorical_effectiveness_a,rhetorical_effectiveness_b
16120ecef12c85b57806d7c2,prop_0008__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,muse-spark-1.3-high,pro,c1168a60180a75086fdb8bd732804e46fa94ebf862a3456391e4cb9c3d993315,1.5,A,1.5,7,"PRO won the central access clash and the comparison. Its peer-supplier mechanism — 18-year-olds supplying 16-year-old classmates, removed only when no school cohort can ever buy legally and the legal pool only shrinks — was conceded as an advantage by CON, while CON's resale and inequality objections apply as much or more to 21-only rules that refill legal youth buyers every year. CON kept a valid proportionality worry but never solved the replenishment problem.","PRO's Rebuttal 1 peer-bridge response: teen supply is barely-legal friends, not cartels, so a cutoff creates an aging gap outside the peer group and the legal pool shrinks through quitting/death instead of replenishing.",responses/muse-spark-1.3-high/16120ecef12c85b57806d7c2.json,e43b189c68090ada2c6cd76fe0ff985f5836122dfdff4366df1493a0cec5ee79,8006,1,8,7,8,7,8,8,8,7,8,7
6914fc7e7e74161f9de0bfb2,prop_0046__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,claude-sonnet-5-high,pro,b45dfec677070f116446ec3ed68f78c12af0c4d27a6c2c06bbdbdbfab5c85b3b,-2.3,B,2.3,7,"CON identified early and maintained throughout that the motion covers somatic, self-regarding recreational enhancement by consenting adults, while most of PRO's harm stories (embryos, germline, grandchildren) target a category PRO himself admits is already banned elsewhere. This scope pressure was never fully resolved by PRO. PRO's best counter—an ""enforcement collapse"" argument claiming the somatic/germline line is unverifiable so the whole category must be banned—was clever but ran straight into CON's ""proves too much"" reductio: the same unverifiability applies to therapeutic somatic gene therapy, which PRO never wants banned and never addressed in rebuttal or closing. CON's closing crystallized this unanswered gap cleanly, while PRO's closing repeated the enforcement-collapse point without patching the hole. CON's cosmetic-surgery/braces/hormones analogies and licensing-vs-ban framing were consistently deployed and never fully neutralized, giving CON the cleaner, more resolved path to victory despite both sides suffering a clipped turn.","CON's ""proves too much"" point in Rebuttal 2/Closing (B4.2, B5.3-B5.4)—that PRO's unverifiability argument for banning recreational somatic edits would equally justify banning somatic gene therapy for disease—landed and was never answered by PRO in the final speech.",responses/claude-sonnet-5-high/6914fc7e7e74161f9de0bfb2.json,a1a9f7a4c07779580c77fa93dc3376f65a807e8a532b19bb5b4a63316180b1ae,8006,1,6,8,6,8,6,7,7,7,6,8
0007c0dcad021281d7e516f2,prop_0127__grok-4.6-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,claude-sonnet-5-high,pro,470cfa317c5d1b0207ceecd6da9cf5bc7c9e9c60214bd98e56bfce0c96af3661,-1.3,B,1.3,7,"Both sides argued cleanly and followed the Q&A format properly, but CON built the more resilient mechanism-level case by round's end. CON's pivotal move was the ""ex ante ordering uncertainty"" argument (B4.2): a manager cannot know at order time which units will become disposal-bound surplus, so compliance risk pushes toward blanket under-ordering rather than trimming only wasteful margin. PRO's answer (A4.1-4.3) simply asserted the two streams ""stay distinct"" without explaining how a manager could sort future pantry-bound stock from future customer-bound stock at the moment of ordering, and PRO's closing never returned to rebuild that wall — CON's closing explicitly and accurately flagged this drop. CON also pressed a real asymmetry between voluntary tax-credit verification and mandatory per-item duty verification that PRO's ""CON cannot call verification fatal here and essential there"" line never fully answered. PRO's strongest moment was forcing CON to concede in A1 that stores remain legally free to trash food under an incentives-only regime, which PRO used effectively to frame CON's plan as tacitly preserving the status quo. That concession, however, was reframed by CON as a deliberate tradeoff for avoiding brittle enforcement and small-grocer harm, and PRO's closing answered that reframing with restated principle rather than fresh engagement. The debate is close and well-matched, but CON's unresolved mechanism argument gives it the cleaner path to victory.","CON's B4.2 (""compliance risk attaches at the moment of ordering, before that surplus even exists"") answering PRO's A4.1-4.3 stream-distinction claim was the most decisive exchange — PRO never rebuilt the distinction in the closing, and CON's closing correctly called out that gap.",responses/claude-sonnet-5-high/0007c0dcad021281d7e516f2.json,74b60cf6de944d312b194f0266177fa422a4c20b7c5940dfd4e53daf1fd97867,8040,1,7,8,7,8,7,7,6,7,8,7
1e57f3a8313b849597e36a8b,prop_0057__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,claude-fable-5-1-high,con,16010975e47441b37fdd86ac33b2439e88b6c5e660323ac822f11f8a1d553c15,-1.2,B,1.2,8,"Both sides argued at a high level, but PRO (B) left fewer of CON's live routes standing. CON's case rested on three pillars: the strikes spent monitoring, consumed an unexecuted threat, and left a movable stockpile. PRO answered each squarely: continuity of knowledge and camera coverage were already degraded before June (never rebutted by CON); the sites were originally found by intelligence, not inspectors; the ""unspent threat"" produced a climb from 20 to 60 percent and inspector obstruction, so it was leverage evaporating rather than conserved; and the stockpile without cascades or centrifuge manufacturing is a setback by definition. PRO's ""window"" reframe cleanly dissolved CON's ""too dangerous to wait, too weak to fight"" contradiction. CON's best material—the accounting-forces-a-parallel-program mechanism and PRO's honest admission it cannot locate the casks—was sharp and rhetorically memorable, but CON's closing largely repeated ""the signal was already working"" without engaging PRO's point that the signal was demonstrably failing at each step. Both sides suffered clipped turns (PRO twice, CON once), a minor execution cost that does not change the outcome.","PRO's closing turn on ""a threat executed is a threat consumed"": by showing the unexecuted threat coincided with Iran's escalation to 60 percent, camera removal, and breach findings, PRO converted CON's central slogan into evidence that the deterrent was already hollow, and CON's final speech did not answer it.",responses/claude-fable-5-1-high/1e57f3a8313b849597e36a8b.json,eede69746afb88303b563b98b44d1c16f91ce5c996b0461742a841e27b290408,8006,1,7,8,7,8,7,7,7,7,8,7
e82aef1571b7b100e5dc5937,prop_0168__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,grok-4.6-high,con,924e07c3427a02b9d98a62beca28c94158e0761a8a63135a867d60309ac5dab0,-1.5,B,1.5,7,"PRO won by making the motion’s own test the vote: science per dollar, applied to the few huge crewed architectures that actually absorb exploration money. CON was more careful on “most,” option value, and incomplete rebuilding accounting, but after conceding no deep-space crewed mission beats probes on that metric, the residual goods never clearly entitled crews to most of the budget.",PRO’s Q2 forced CON to admit they could not name a deep-space crewed mission that wins on science per dollar; PRO then used that concession to collapse “keep the capability” into a cadence veto against the majority shift.,responses/grok-4.6-high/e82aef1571b7b100e5dc5937.json,5bbb1c898f524b9b4aa5fc36d1c0d7bc6a6843f02ec79c35b0c511e25246f853,8006,1,7,8,7,8,7,7,7,7,7,8
4b56f79a98636919ef0318a3,prop_0667__kimi-k3__gpt-6-astra-high__s1__tpl_placement_active_20260813a,kimi-k3,con,6d6debc5ca3fa824c32b4224f94f18d33bb4960b8895a6f81d73d15eadac04b2,-1.5,B,1.5,8,"B built the stronger path under the motion's actual standards. The bar was ""meaningfully reduce"" and no ""large increases"" — middling thresholds that B met with state-mandate evidence, a coherent national mechanism, and the decisive escape-valve flip: A's own relocation concession became the case for nationwide coverage. A argued cleverly — dissolving B's contradiction charge via evasion and shortages occurring ""in different places,"" exposing the pre-hire audit blind spot, and the sharp closing point that national coverage removes both the workers' escape valve and employers' cross-state recruitment valve. But A's case was ultimately that B's combination was unproven, while A's own harms stayed unquantified and admittedly unevidenced (""a warning, not clean proof""; no causal estimate on discrimination). B directly answered both pressure questions with real mechanisms (population decline indicating departure, not off-the-books substitution; motive-shrinkage from ~98% instant confirmation), whereas A answered B's questions mostly with honest concessions plus reframes. B's flaws — the ""effectively conceded"" overclaim and the chronologically impossible ""silence on both"" jab before A could answer — were real but minor. Against a modest-threshold motion, a demonstrated mechanism beats unmeasured hypotheticals.","B's escape-valve flip (B2.1, cashed out in B4.1–B4.2): A conceded state mandates shrank unauthorized populations and attributed it to interstate relocation, and B converted that into the core argument for a national mandate — the valve exists only because coverage is patchwork. A never fully escaped it; A's counters (off-the-books substitution, departure ≠ cessation of US work) were answered by the formal-sector closure logic and went unattached to any magnitude. A's best counter-move — A2.2's ""different places"" dissolution of B's contradiction charge — was strong but only restored A's critique rather than establishing large harms.",responses/kimi-k3/4b56f79a98636919ef0318a3.json,e41c6f1c79d3c5f64db9868c484cd269cb19333e628dc258dd7fd8a325ed8be6,8006,1,7,8,7,8,8,8,8,7,7,8
13627cfaa75728190428d010,prop_0650__claude-sonnet-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,grok-4.6-high,pro,376809605f592722280dd6594dcf9e1ff24c9a36e57bcf0550751704d0e8f753,-1.6,B,1.6,7,"B made the clash easier to decide: extra CGM resolution without a validated cutoff is not early detection, consumer adoption among the already-attentive is medicalization rather than outreach, and A's public-health upside rested on end-stage complications A later conceded consumer sensors have not been shown to prevent. A had a strong feedback-loop case and a fair double-standard attack, but never recovered the weighing after that concession.","B's turn of A's scale/wellness argument into “scale is medicalization,” then using A's no-trial concession to collapse the blindness/amputation weighing.",responses/grok-4.6-high/13627cfaa75728190428d010.json,eed6f661dc5b98dac510696bcc0d045769ae58932ac540e4f8586e3a63f41d3b,8006,1,7,8,7,8,7,8,7,8,7,8
1864cdd1903c41f7380c6b12,prop_0136__muse-spark-1.3-high__glm-5-3-high__s1__tpl_placement_active_20260813a,glm-5-3-high,con,72de5ed09ddade28149a86cf2d8bcfb8b63381d2ac353073f408d88f7a171032,-1.2,B,1.2,7,"Side A (CON) was sharper rhetorically and landed real hits on speed, leakage, and B's early ""half-measures"" escape hatch. But B recovered in Rebuttal 2 by supplying a concrete falsifiability test (take-up, queues, second-child intentions), which A kept denying existed, and by exposing A's fatal drift: A's only answer to the ""dial"" pressure was to make bonuses recurring and per-child, abandoning the motion's ""one-off"" policy. B's B4.4 point — that to match years of rent a bonus must become sustained support, which is housing and childcare by another name — was the decisive weighing, and B's fast-acting levers (rental support, fee caps in the next budget) blunted A's decade-scale timing attack without leaving the motion. A's closing doubled down on per-child recurring bonuses rather than answering that concession. B wins on motion fidelity and the unanswered completed-family-size argument, despite A's stronger delivery-mechanism exchanges.","Side A's Q2 forced B to name fast-acting levers, and A's Rebuttal 2 spun this as a collapse (""their position has collapsed into mine""). But B's counter in B4.4 — that scaling the bonus until it matters means it ""must stop being one-off and become sustained support, which is housing and childcare by another name"" — turned A's own reframing into a concession that decided the motion.",responses/glm-5-3-high/1864cdd1903c41f7380c6b12.json,2ae5f3ccc0e471e250d9c288aec30614670113c5b62a1bf36d2f51979c72ed30,8006,1,7,7,8,7,6,6,7,6,8,7
14ec694f4225dc95896dbfe9,prop_0152__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,claude-sonnet-5-high,con,39c858bf4baf13451aaf8c4699a0bcfbc72d9e60746f201b80bdb0569b942d03,1.3,A,1.3,7,"Both sides ran a tight, substantive debate, but CON built the sharper central frame — ""who actually volunteers for the burden?"" — and sustained it across rounds: children cannot independently consent, so the resolution's ""genuinely voluntary"" condition is structurally hollow for schools, and CON's badge analogy (""theology explains the rule, it doesn't redistribute the burden"") directly rebutted PRO's structure/content defense. PRO's best material (the ""proves too much"" point on parental authority, and the doctrinal distinction between religious associations and ordinary employers) landed and kept the employer-side of the resolution defensible, but PRO never fully closed the children/schools gap, and conceded ground when framing volunteering as a family-level act — a concession CON exploited cleanly in both Rebuttal 2 and the closing. CON's closing crystallized the clash into one decisive question and quoted PRO's own language against it, which is more memorable and easier to adjudicate than PRO's closing, which mostly reasserted the associational-freedom frame without directly dissolving CON's consent objection. CON's Rebuttal 2 being clipped for length is a real execution cost, but the core content had already landed before the cutoff, so the damage is modest.","CON's ""theology explains a rule, it does not redistribute the burden — that is precisely the badge, with better paperwork"" (A4.2), combined with using PRO's own line ""the volunteer unit is the family, not the girl"" (B4.1) against them in the closing, was the most decisive exchange: it forced PRO's structural defense to concede that the person actually wearing the code never independently consented.",responses/claude-sonnet-5-high/14ec694f4225dc95896dbfe9.json,422f02a746e6ce165e0ace1ae0a3830e92f336570083d182e9127fc55d7f3a14,8040,1,8,7,8,7,7,8,7,7,9,7
b5dd3744769d43f7a7936262,prop_0082__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,claude-sonnet-5-high,pro,379e867eff2e1ab3f345841d753fc497e69406889f9bd66d37f874d4aa3fb43b,-1.2,B,1.2,8,"Both sides built coherent, well-structured cases and executed the pressure-question format cleanly, answering with proper A1/A2 labels. A's strongest moves were the Match Group rebuttal to the Hinge example, the exploitation of B's ""ordered by prior engagement, not compatibility"" concession, and the closing thesis that manipulated perception disables the exit-based market discipline B relies on. But B's case held up better under the final exchanges: B's ""proxy, not corrupted signal"" reframe blunted the engagement concession, and two of B's late rebuttals went unanswered by the end — that A's proposed regulatory proxies (ghosting rate, time-to-match) are themselves engagement metrics in disguise, and that A's proposed alternative revenue model (paid filters/likes) doesn't actually remove the ""toll booth,"" just relabels it, undercutting the feasibility of PRO's remedy. B also used the genuine chronological last word (closing after A's closing) to directly rebut A's central ""manipulated perception"" punchline with the plausible counter-example of well-documented ""swipe fatigue"" and Tinder's paid-user decline, leaving A's final framing without a reply. The debate was close and both sides argued with discipline and no fabricated sourcing, but B ended with more live, unrebutted practical objections.","B's late-round combo — reframing engagement-based ranking as an imperfect ""proxy"" rather than a corrupted signal, and showing that A's suggested regulatory proxies (ghosting/time-to-match) and alternative revenue model (paid filters/likes) are themselves engagement-flavored or a relabeled toll booth — landed as the most decisive, least-answered exchange of the debate.",responses/claude-sonnet-5-high/b5dd3744769d43f7a7936262.json,bc401ea5f0686ff0fe9e826329e9e2318f820b0aa9213c7b4d0ae9df71d1c117,8040,1,8,8,7,8,7,7,7,7,8,8
