model,axis,debates,self,self_lo,self_hi,opponent,opponent_lo,opponent_hi,gap,gap_lo,gap_hi,panel_gap,panel_gap_lo,panel_gap_hi,shift,shift_lo,shift_hi
claude-fable-5-1-high,argument_strength,128,7.51171875,7.448412698412699,7.57421875,6.75,6.646825396825397,6.853174603174603,0.76171875,0.6269230769230769,0.8968253968253969,0.7031250000000001,0.5755208333333335,0.8255838707010581,0.05859374999999991,-0.05423280423280429,0.17320663060897415
claude-fable-5-1-high,rebuttal_quality,128,7.69921875,7.638888888888889,7.7578125,6.76953125,6.648419744318182,6.892898995535714,0.9296875,0.765297619047619,1.0873015873015872,0.796875,0.6461375661375662,0.9417989417989417,0.13281249999999994,-0.011937830687830712,0.2804232804232803
claude-fable-5-1-high,grounding_and_epistemic_discipline,128,6.9921875,6.934615384615385,7.0476190476190474,6.84375,6.7578125,6.925809795673077,0.1484375,0.04296875,0.25396825396825395,0.2786458333333334,0.17179487179487188,0.38541666666666674,-0.13020833333333343,-0.23016648065476203,-0.029947916666666782
claude-fable-5-1-high,originality_of_argument,128,6.79296875,6.742063492063492,6.846191406249999,6.265625,6.123015873015873,6.404761904761905,0.52734375,0.37688788201847906,0.6825660342261903,0.515625,0.40211640211640215,0.6276041666666667,0.011718750000000007,-0.09920634920634917,0.11640873015873013
claude-fable-5-1-high,rhetorical_effectiveness,128,7.7421875,7.676923076923077,7.801587301587301,7.1796875,7.0234375,7.33080078125,0.5625,0.36904761904761907,0.7537893356643357,0.5182291666666665,0.38202380952380943,0.6510416666666666,0.044270833333333405,-0.0692578124999999,0.15479497354497349
claude-opus-5-high,argument_strength,116,7.806034482758621,7.745614035087719,7.866071428571429,7.3405172413793105,7.237063294010889,7.440677966101695,0.46551724137931033,0.3249890350877193,0.6077586206896551,0.5632183908045978,0.39260909799337623,0.7456177520071365,-0.09770114942528743,-0.22414888953828166,0.017241379310344706
claude-opus-5-high,rebuttal_quality,116,7.896551724137931,7.837719298245614,7.956896551724138,7.379310344827586,7.2707589285714285,7.491666666666666,0.5172413793103449,0.3620689655172414,0.6639655298594845,0.632183908045977,0.40436116513846443,0.8684777676950998,-0.11494252873563222,-0.27156117664851775,0.033625730994152
claude-opus-5-high,grounding_and_epistemic_discipline,116,7.245689655172414,7.175438596491228,7.316666666666666,7.081896551724138,6.974126588021779,7.182203389830509,0.16379310344827586,0.06893629456458211,0.26339285714285715,0.24425287356321848,0.14405805571790384,0.34502923976608196,-0.08045977011494262,-0.1885964912280703,0.021939614661654047
claude-opus-5-high,originality_of_argument,116,7.625,7.557017543859649,7.691674107142857,6.9655172413793105,6.855263157894737,7.080543176504968,0.6594827586206896,0.5416495901639344,0.788810117967332,0.6408045977011495,0.5110526315789473,0.7627230151650312,0.01867816091954018,-0.06640586282089417,0.1048945099818511
claude-opus-5-high,rhetorical_effectiveness,116,8.172413793103448,8.122949083078632,8.225,7.758620689655173,7.62719298245614,7.885263876905378,0.41379310344827586,0.27630444646098007,0.5560590592861462,0.6206896551724137,0.4774011299435028,0.7614942528735631,-0.20689655172413784,-0.29597701149425265,-0.11923765341905314
