side_swap_group_id,topic_id,proposition_text,model_a,model_b,debate_ids,debate_count,swap_complete,rating_eligible,judgment_rows,judge_models,judge_count,normalized_margin_rows,mean_confidence,mean_entertainment_value,mean_signed_margin_a_raw,mean_signed_margin_a_norm,score_a_raw,score_a_norm,winner_raw,winner_norm
prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,American cities would be more affordable today if they had legalized denser housing two decades earlier.,claude-fable-5-1-high,kimi-k3,prop_0002__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a|prop_0002__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|grok-4.5-high,3,6,,8.0,-0.0833333333333333,-0.06453703705,0.5,0.5,tie,tie
prop_0004__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0004,Advanced economies should legally redefine the standard full-time workweek to four days with no reduction in base pay for most full-time employees.,claude-opus-5-high,glm-5-3-high,prop_0004__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a|prop_0004__glm-5-3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|grok-4.5-high|kimi-k2.6,3,6,,8.333333333333334,0.1333333333333333,0.1369444444444444,0.5,0.5,tie,tie
prop_0008__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0008,Countries should phase out tobacco sales through a generational ban rather than rely only on conventional age restrictions.,gpt-6-astra-high,muse-spark-1.3-high,prop_0008__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0008__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,2,1,1,6,claude-sonnet-5-high|grok-4.5-high|kimi-k2.6,3,6,,7.333333333333333,-0.7000000000000001,-0.7771428571428572,0.4725274725274725,0.4640502354788069,muse-spark-1.3-high,muse-spark-1.3-high
prop_0012__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0012,Museums and universities should return Indigenous and colonized peoples' human remains promptly even when researchers argue that continued scientific study would be valuable.,gpt-6-astra-high,grok-4.6-high,prop_0012__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a|prop_0012__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,2,1,1,6,kimi-k2.6|muse-spark-1.1-high|qwen3.7-max,3,6,,7.666666666666667,0.5166666666666666,0.4238194444444444,0.5073260073260073,0.5,gpt-6-astra-high,tie
prop_0014__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0014,The U.S. national debt has reached a level where serious deficit reduction should take priority over most new spending commitments.,claude-opus-5-high,claude-sonnet-5-high,prop_0014__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f|prop_0014__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,2,1,1,6,gemini-3.1-pro-preview|kimi-k2.6|muse-spark-1.1-high,3,6,,7.666666666666667,1.7833333333333332,1.79444444445,0.6465201465201466,0.6477411477417583,claude-opus-5-high,claude-opus-5-high
prop_0017__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0017,"Anti-encampment laws are justified only when cities provide genuinely available shelter, storage, and service options rather than simply criminalize visible poverty.",gpt-6-astra-high,muse-spark-1.3-high,prop_0017__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0017__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,2,1,1,6,claude-sonnet-5-high|gemini-3.1-pro-preview|kimi-k2.6,3,6,,7.833333333333333,0.5333333333333333,0.5808333333333334,0.5091575091575091,0.5143772893772894,gpt-6-astra-high,gpt-6-astra-high
prop_0018__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0018,Cities should impose congestion pricing in central districts even when drivers strongly oppose it.,claude-sonnet-5-high,muse-spark-1.3-high,prop_0018__claude-sonnet-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a|prop_0018__muse-spark-1.3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,gpt-5.6-high|grok-4.5-high|qwen3.7-max,3,6,,7.833333333333333,0.0833333333333333,0.0314814814814814,0.5,0.5,tie,tie
prop_0021__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0021,"Countries should reintroduce wolves, lynx, and other apex predators to restore degraded ecosystems even when rural communities and livestock farmers object.",claude-fable-5-1-high,claude-opus-5-high,prop_0021__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a|prop_0021__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|gpt-5.6-high|muse-spark-1.1-high,3,6,,8.5,1.1666666666666667,1.1073611111166668,0.5787545787545788,0.5722374847380952,claude-fable-5-1-high,claude-fable-5-1-high
prop_0021__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0021,"Countries should reintroduce wolves, lynx, and other apex predators to restore degraded ecosystems even when rural communities and livestock farmers object.",gpt-6-astra-high,kimi-k3,prop_0021__gpt-6-astra-high__kimi-k3__s0__tpl_placement_active_20260813a|prop_0021__kimi-k3__gpt-6-astra-high__s1__tpl_placement_active_20260813a,2,1,1,6,gemini-3.1-pro-preview|muse-spark-1.1-high|qwen3.7-max,3,6,,8.166666666666666,-1.3833333333333335,-1.1758333333333333,0.3974358974358974,0.4202380952380952,kimi-k3,kimi-k3
prop_0022__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0022,Stablecoin issuers should be regulated more like banks or money-market funds than like ordinary software projects.,claude-sonnet-5-high,gpt-6-astra-high,prop_0022__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a|prop_0022__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,2,1,1,6,grok-4.5-high|kimi-k2.6|qwen3.7-max,3,6,,7.5,0.1666666666666666,0.1652777777777777,0.5,0.5,tie,tie
