template_id,judge_template_id,debate_template_id,debate_id,side_swap_group_id,topic_id,proposition_text,model_pro,model_con,debate_protocol_fingerprint,side_swap,judge_model,judge_family,judge_protocol_fingerprint,presented_side_a_source,presented_side_b_source,winner_presented,winner_side,winner_model,signed_margin_presented,signed_margin,normalized_signed_margin,legacy_tie_band_applied,judge_margin_scale_factor,judge_margin_calibration_status,judge_margin_calibration_sample_count,judge_margin_calibration_judge_median_abs_margin,judge_margin_calibration_global_median_abs_margin,margin,confidence,entertainment_value,reasoning,notable_rebuttals,parse_ok,parse_warning,prompt_missing,prompt_side_mapping_source,argument_strength_a,argument_strength_b,argument_strength_con,argument_strength_pro,grounding_and_epistemic_discipline_a,grounding_and_epistemic_discipline_b,grounding_and_epistemic_discipline_con,grounding_and_epistemic_discipline_pro,originality_of_argument_a,originality_of_argument_b,originality_of_argument_con,originality_of_argument_pro,rebuttal_quality_a,rebuttal_quality_b,rebuttal_quality_con,rebuttal_quality_pro,rhetorical_effectiveness_a,rhetorical_effectiveness_b,rhetorical_effectiveness_con,rhetorical_effectiveness_pro,source_judge_template_id,source_template_id
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,American cities would be more affordable today if they had legalized denser housing two decades earlier.,claude-fable-5-1-high,kimi-k3,debprot_dcec5496c621,False,gemini-3.1-pro-preview,4,judprot_1c6058ad2d73,pro,con,A,pro,claude-fable-5-1-high,1.5,1.5,1.275,0,0.85,ok,34,2.0,1.7,1.5,,8,"Side A won by maintaining a disciplined comparative frame that Side B never escaped. While Side B offered excellent economic analysis on land values and macro headwinds, Side A successfully argued that those macro trends apply to both worlds. By leveraging Side B's concessions about a Miami ""glut"" and a potential ""few percent"" price trim, Side A proved that even under Side B's assumptions, the core burden of ""more affordable"" was met.","Side A's R2 handling of Miami, pointing out that a ""glut"" means supply lowered prices and that the city's current unaffordability would be even worse in the no-tower counterfactual.",True,,0,prompt_file,8,7,7,8,8,8,8,8,7,8,8,7,8,7,7,8,8,7,7,8,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,American cities would be more affordable today if they had legalized denser housing two decades earlier.,claude-fable-5-1-high,kimi-k3,debprot_dcec5496c621,False,gpt-5.6-high,1,judprot_1c6058ad2d73,pro,con,A,pro,claude-fable-5-1-high,1.9,1.9,1.7944444444,0,0.9444444444,ok,150,1.8,1.7,1.9,,8,"Side A won the comparative motion by showing that twenty years of additional construction would enlarge today's housing stock and exert at least some downward price pressure. Side B raised credible confounds involving finance, migration, land, and national shocks, but repeatedly relied on effectively perfect demand absorption and an unwarranted requirement that zoning reform overcome the entire post-2020 surge. Side A correctly weighed that surge as common to both counterfactuals and noted that even modest savings satisfy “more affordable.” The clipped rebuttal was a minor execution cost.","Side A's strongest exchange answered the in-migration objection through vacancy and marginal landlord competition: new units redirect some bidding away from existing homes unless migration demand is perfectly elastic. Side B asserted full absorption but never established it, leaving A's lower-price counterfactual intact.",True,,0,prompt_file,8,7,7,8,8,7,7,8,8,8,8,8,8,7,7,8,9,9,9,9,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,American cities would be more affordable today if they had legalized denser housing two decades earlier.,claude-fable-5-1-high,kimi-k3,debprot_dcec5496c621,False,grok-4.5-high,9,judprot_1c6058ad2d73,con,pro,B,pro,claude-fable-5-1-high,-1.5,1.5,1.7,0,1.1333333333,ok,83,1.5,1.7,1.5,,7,"PRO won the decisive comparative framing: the motion requires only more affordability, not solving today's crisis. CON's strongest cards (2008 capital freeze, open-city absorption, Miami, national rate surge) never fully canceled extra stock; CON repeatedly conceded skylines change and an arguendo few-percent trim, which PRO correctly weighed as the motion. CON's land-vs-sprawl and magnitude replies were sharp but left demand-slope and vacancy logic standing. B's clipped rebuttal is a real cost and keeps the margin competitive rather than dominant.","B's pressure Q1 plus later use of CON's ""few percent"" ceiling: it forced the comparative vote onto conceded supply effects rather than absolute post-2020 prices.",True,,0,prompt_file,7,8,7,8,7,7,7,7,7,6,7,6,7,7,7,7,7,8,7,8,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0002__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,American cities would be more affordable today if they had legalized denser housing two decades earlier.,kimi-k3,claude-fable-5-1-high,debprot_dcec5496c621,True,gemini-3.1-pro-preview,4,judprot_1c6058ad2d73,pro,con,A,pro,kimi-k3,2.2,2.2,1.87,0,0.85,ok,34,2.0,1.7,2.2,,9,"Side A won by successfully defending the comparative nature of the counterfactual and proving that the durable housing stock built before the 2008 crash would exert a downward directional pressure on prices today. Side A's pressure question exposed a flaw in Side B's land-value mechanism, cornering Side B into admitting that banning construction does not lower prices, which left Side A's supply-vacancy mechanism as the decisive differentiator.","Side A's Rebuttal 2 expertly neutralized the 2008 crash argument with 'busts are cyclical, bans are permanent,' solidifying the durable stock argument that won the debate.",True,,0,prompt_file,9,8,8,9,9,8,8,9,8,8,8,8,9,8,8,9,9,9,9,9,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0002__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,American cities would be more affordable today if they had legalized denser housing two decades earlier.,kimi-k3,claude-fable-5-1-high,debprot_dcec5496c621,True,gpt-5.6-high,1,judprot_1c6058ad2d73,pro,con,A,pro,kimi-k3,1.8,1.8,1.7,0,0.9444444444,ok,150,1.8,1.7,1.8,,8,"Side A won by consistently enforcing the correct counterfactual: a growing city with more legal housing versus that same city under tighter supply, not the city today versus itself in 2004. Side B showed that demand, credit cycles, land costs, and migration can blunt supply effects, but its examples of cities that built and still became expensive did not establish that they would have been equally affordable without those homes. Its land-value and induced-demand mechanisms also never demonstrated a net price increase sufficient to defeat the motion's modest directional claim. Side A combined the durable-stock argument with vacancy, filtering, and a strong cyclical-bust-versus-permanent-ban comparison.","Side A's answer to the Seattle, Denver, and Austin evidence was decisive: rising prices during strong construction primarily demonstrate surging demand, not that construction failed relative to the no-building counterfactual. Side B never cleanly closed that causal gap.",True,,0,prompt_file,9,7,7,9,8,7,7,8,7,8,8,7,9,8,8,9,9,8,8,9,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0002__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0002__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0002,American cities would be more affordable today if they had legalized denser housing two decades earlier.,kimi-k3,claude-fable-5-1-high,debprot_dcec5496c621,True,grok-4.5-high,9,judprot_1c6058ad2d73,con,pro,B,pro,kimi-k3,-1.4,1.4,1.5866666667,0,1.1333333333,ok,83,1.5,1.7,1.4,,8,"PRO won a competitive debate by keeping the motion as a same-city counterfactual and making the durable-stock / permanent-ban versus cyclical-bust weighing decisive. CON landed real damage on legal≠built, GFC timing, sprawl-versus-density, and the missing American infill instance, and Rebuttal 1 being clipped cost execution; but CON too often treated “expensive versus 2004” and national demand shocks as if they answered “cheaper than without twenty years of legal denser supply,” while never establishing a net that overturns supply’s direction. PRO’s cleaner comparative frame and answers under pressure made the path to victory easier to vote.","PRO’s neutralization of the crash (covers ~5 of 20 years; finished units still house people; busts cyclical, bans permanent) plus the one-way land-value pressure question that forced CON’s options asymmetry without restoring a supply-irrelevant story.",True,,0,prompt_file,7,8,7,8,7,8,7,8,8,7,8,7,7,8,7,8,7,8,7,8,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0004,Advanced economies should legally redefine the standard full-time workweek to four days with no reduction in base pay for most full-time employees.,claude-opus-5-high,glm-5-3-high,debprot_dcec5496c621,False,gemini-3.1-pro-preview,4,judprot_1c6058ad2d73,con,pro,A,con,glm-5-3-high,1.5,-1.5,-1.275,0,0.85,ok,34,2.0,1.7,1.5,,9,"Side A won by relentlessly grounding the debate in the mechanical realities of continuous-coverage sectors like healthcare, forcing Side B to concede that the public purse would have to fund a massive residual cost increase. Side A also cleanly flipped Side B's historical Ford example to prove that mandates are only necessary where the productivity math objectively fails.","Side A's second rebuttal, which brilliantly flipped the Ford precedent to argue that unilateral adoption happens where the math works, meaning the statute is only forcing compliance where it inflicts pure loss.",True,,0,prompt_file,9,8,9,8,9,8,9,8,8,8,8,8,9,8,9,8,9,9,9,9,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0004,Advanced economies should legally redefine the standard full-time workweek to four days with no reduction in base pay for most full-time employees.,claude-opus-5-high,glm-5-3-high,debprot_dcec5496c621,False,grok-4.5-high,9,judprot_1c6058ad2d73,pro,con,B,con,glm-5-3-high,-1.8,-1.8,-2.04,0,1.1333333333333333,ok,83,1.5,1.7,1.8,,8,"CON won by making the motion’s decisive clause—pay-protected universal mandate—carry an unanswerable incidence and sector problem. PRO’s history, coordination-failure, and pilot story were coherent, but CON repeatedly showed pilots are not mandates, offsets are sectoral while the 25% cost is universal, and continuous-coverage work becomes pure payroll expansion. PRO’s direct “public purse pays” hospital answer, and CON’s reframing of Ford plus the OT-without-pay-protection alternative, left PRO needing every firm to gain for a rule that only some can fund. CON made the choice easier: hidden fiscal transfer via labor law versus priced hours and voluntary cuts where the math works.",B4 turning A’s hospital concession (“public purse”) and Ford precedent into proof that statute is needed exactly where the math fails—and is therefore pure loss under a pay-protected mandate.,True,,0,prompt_file,7,8,8,7,7,8,8,7,6,7,7,6,7,8,8,7,7,8,8,7,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0004,Advanced economies should legally redefine the standard full-time workweek to four days with no reduction in base pay for most full-time employees.,claude-opus-5-high,glm-5-3-high,debprot_dcec5496c621,False,kimi-k2.6,16,judprot_1c6058ad2d73,con,pro,A,con,glm-5-3-high,1.2,-1.2,-1.36,0,1.1333333333333333,ok,20,1.5,1.7,1.2,,8,"CON won by exposing the fatal fiscal asymmetry in PRO's universal mandate. When pressed directly on who bears a pure 25% hourly cost increase in continuous-coverage sectors like hospitals, PRO conceded ""the public purse pays it."" CON crystallized this into a devastating liability: PRO smuggles a massive, untargeted spending program through labor law rather than through honest budget debate. Combined with CON's credible alternative—universally pricing hours 33-40 without pay protection, which changes the default and lets firms adopt four days only where the math actually works—CON left PRO defending a one-size-fits-all mandate that imposes certain costs in huge swathes of the economy while relying on speculative, sector-specific offsets. PRO's coordination-failure and historical framing remained eloquent, but the hospital-cost concession and the ""statute is not a funding source"" line gave CON the cleaner comparative victory.","CON's pressure question on hospital funding and PRO's damaging admission that ""the public purse pays it,"" which CON then converted in Rebuttal 2 and the Closing into a decisive critique of hidden incidence and unfunded mandates.",True,,0,prompt_file,8,7,8,7,8,8,8,8,7,7,7,7,8,7,8,7,8,8,8,8,judge_active_20260711a,judge_active_20260711a
judge_blend_glm53_coverage_20260904a,judge_blend_glm53_coverage_20260904a,placement_active_20260813a,prop_0004__glm-5-3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0004__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0004,Advanced economies should legally redefine the standard full-time workweek to four days with no reduction in base pay for most full-time employees.,glm-5-3-high,claude-opus-5-high,debprot_dcec5496c621,True,gemini-3.1-pro-preview,4,judprot_1c6058ad2d73,con,pro,A,con,claude-opus-5-high,1.8,-1.8,-1.53,0,0.85,ok,34,2.0,1.7,1.8,,9,"Side A won by systematically dismantling the economic mechanics of the mandate in labor-intensive sectors. By forcing Side B to concede that essential workers would largely just work the fifth day at an overtime premium, Side A successfully framed the policy as a 25% overnight cost shock that would lead to rationing and understaffing rather than a true four-day workweek.","Side A's observation that calling a 20% staffing gap ""job creation"" mistakes a budget line for a labor supply, devastatingly exposing the flaw in Side B's argument that the mandate would magically solve chronic vacancies.",True,,0,prompt_file,9,8,9,8,9,8,9,8,8,8,8,8,9,7,9,7,9,9,9,9,judge_active_20260711a,judge_active_20260711a
